,location_id,month,location,enodeb_share,onx_avg_initialbufferinterval_overall,cei_score,call_setup_success_rate,ccsr_voice_rate
539,1222,12,LABUHAN BATU SELATAN,79.82191124827315,5345.515502487278,36.49398573446078,99.2550175332337,98.87640266495843
550,1223,11,LABUHAN BATU UTARA,65.65361264351147,4903.582546712548,43.03142244850387,98.72728678073813,98.68637614533276
551,1223,12,LABUHAN BATU UTARA,71.02416042443957,4875.682597772599,38.83332040131869,99.22008453197498,98.5694434432858
562,1224,11,NIAS UTARA,90.0,5949.716666666666,45.01365277090391,99.2248336181868,98.71638132597268
563,1224,12,NIAS UTARA,60.91954022988506,6664.6547619047615,41.81008054036722,98.9991957091138,98.4655179009566
574,1225,11,NIAS BARAT,76.66666666666667,7903.2619047619055,41.23498259947248,98.55003830341585,98.75341519596569
575,1225,12,NIAS BARAT,89.65517241379311,6686.691666666666,38.7276477722434,97.5907252429443,98.5301440404372
586,1271,11,KOTA SIBOLGA,75.49933278222754,4429.94373015873,53.29513728066019,99.6642409996628,99.72151321016398
587,1271,12,KOTA SIBOLGA,70.36484166048061,4618.216133004927,48.94139098998699,99.57932853296629,99.69001164209403
598,1272,11,KOTA TANJUNG BALAI,67.198986738738,4537.353896103897,42.436833989027534,99.63165040183566,99.4749199532426
599,1272,12,KOTA TANJUNG BALAI,72.94414606007552,4657.384905002405,38.47787313749775,99.6183368976497,99.52502964546768
610,1273,11,KOTA PEMATANG SIANTAR,59.18638346008539,3642.605731590652,62.583271836552925,99.65537638015586,99.3729205044185
611,1273,12,KOTA PEMATANG SIANTAR,58.268232150719314,3914.442273714461,54.21182678179943,99.6574526908268,99.38657188750751
622,1274,11,KOTA TEBING TINGGI,57.174472887888776,3857.1136524586527,57.14031506237439,99.5532843852436,99.8223970484734
623,1274,12,KOTA TEBING TINGGI,66.33100142868969,3852.228664021164,52.46013222985415,99.43153073448566,99.79863521870034
634,1275,11,KOTA MEDAN,57.58769631366394,3637.0863420072783,55.99073823254314,99.46188327369636,99.8667459478849
635,1275,12,KOTA MEDAN,58.66827058126038,3579.4880597349493,54.06105732908785,99.41899684782987,99.86876553302908
646,1276,11,KOTA BINJAI,59.82273749983933,3837.5059006483552,60.96883659442963,99.64696269600556,99.85323418497956
647,1276,12,KOTA BINJAI,59.75445385783344,3297.3376216983825,57.94983868477121,99.582446151395,99.84911739953706
658,1277,11,KOTA PADANG SIDEMPUAN,56.85303629315542,3839.175479196729,61.408565902165,99.553101034806,99.57153221209347
659,1277,12,KOTA PADANG SIDEMPUAN,62.19723180609767,3871.950801018154,57.20869726384573,99.4634891773178,99.5991807498405
670,1278,11,KOTA GUNUNGSITOLI,99.60586651814722,5040.34745976246,44.77386913193193,99.25195809513414,99.3733888024401
671,1278,12,KOTA GUNUNGSITOLI,98.75688648594218,5403.712670292671,39.83113871343578,99.16939043052209,99.30860601078524
682,1301,11,KEPULAUAN MENTAWAI,100.0,4641.916091954024,53.42202283002011,99.46119878703442,99.0961684484908
683,1301,12,KEPULAUAN MENTAWAI,96.55172413793105,5308.5767857142855,58.557292110408206,99.55449089865942,99.03302230758362
694,1302,11,PESISIR SELATAN,71.20325822794425,4459.666355281984,52.92830520347123,99.52141187833112,99.33986891526963
695,1302,12,PESISIR SELATAN,75.01627535254792,4005.7694527643175,54.14553805404592,99.39591225745627,99.29999967130809
706,1303,11,SOLOK,72.22668150541277,4051.777644695666,56.78776645824085,99.47823048743832,99.31698750310444
707,1303,12,SOLOK,73.64041578399741,4135.977154825022,57.03763176480999,99.15285991716902,99.04001175747707
718,1304,11,SIJUNJUNG,90.01323851087884,4194.327801087801,55.36684187888079,99.54882982425082,99.10679291782004
719,1304,12,SIJUNJUNG,93.05734329206533,4358.197741702742,59.67962962978496,99.60012043603186,98.81764935638424
730,1305,11,TANAH DATAR,66.91289621833953,4077.691031500597,62.99617302168871,99.67665939231604,99.25315078981288
731,1305,12,TANAH DATAR,70.98620098528454,4101.930515808704,64.08565802550213,99.70856673491404,99.2194768485276
742,1306,11,PADANG PARIAMAN,67.16251353911123,4509.899864157257,54.8222344275999,99.66650070981116,98.8919664929865
743,1306,12,PADANG PARIAMAN,66.19099190072781,4507.183642184058,51.93595495578524,99.67675791180191,98.7580208927416
754,1307,11,AGAM,66.36338555881314,3934.486559022801,57.74279053786344,99.30053664429934,99.01655666489528
755,1307,12,AGAM,65.37238787215746,4358.396826133874,55.38952035795447,99.31729155365308,98.9258371725669
766,1308,11,LIMA PULUH KOTA,70.89867072482116,4333.897489278139,58.12677696343608,99.35860524756936,99.22523653553765
767,1308,12,LIMA PULUH KOTA,76.98790529452876,4092.110543990256,59.66121413755568,99.37814020845296,99.18647147371064
778,1309,11,PASAMAN,84.26407267139098,4204.573483738483,50.898324880943576,99.40742389151124,99.23331031596057
779,1309,12,PASAMAN,83.32882645763347,3859.49819042069,49.359075086937054,99.52035419790228,99.21998167205729
790,1310,11,SOLOK SELATAN,93.3485079848386,4246.400948773449,45.3572909920246,99.46637474063658,99.01950280185778
791,1310,12,SOLOK SELATAN,93.55608420630382,4599.896177248677,48.13587113345727,99.58009520399006,98.8861381441044
802,1311,11,DHARMASRAYA,81.07367282534067,4307.754372170944,56.709803476854354,99.72873924369952,99.0705286119794
803,1311,12,DHARMASRAYA,81.21445110634504,4331.374371325555,58.22011495716606,99.56776025756368,98.96144905373264
814,1312,11,PASAMAN BARAT,79.73700329453436,4189.324765941055,53.8761024713798,99.40442659505564,99.11994933823044
815,1312,12,PASAMAN BARAT,78.56122806729205,4342.227349512086,55.714495818105405,99.32544580965616,99.06486027932884
826,1371,11,KOTA PADANG,65.43372016289705,3598.013265300829,64.80495119894657,99.41983581415714,99.40071629527392
827,1371,12,KOTA PADANG,66.45883788943624,3719.741301915984,67.95594330601162,99.58186061196965,99.41813701530452
838,1372,11,KOTA SOLOK,74.47650026621164,3500.625066137566,63.77244052214825,99.7402370454834,99.51039036851162
839,1372,12,KOTA SOLOK,75.58172502469874,3614.225634920636,66.75775306011542,99.49982910879947,99.30935856207208
850,1373,11,KOTA SAWAH LUNTO,79.57366501174552,4265.655661375662,58.18499590025397,99.59295825051171,99.26989379102476
851,1373,12,KOTA SAWAH LUNTO,83.65742177718543,4321.504421768708,60.20929594941749,99.66732229435551,98.57109246386165
862,1374,11,KOTA PADANG PANJANG,69.79819903203406,4084.022341269841,62.740371241560034,99.57914662922629,99.4394647999982
863,1374,12,KOTA PADANG PANJANG,57.088548283683465,4005.8711507936505,65.19058631722537,99.6416392181644,99.10050259583714
874,1375,11,KOTA BUKITTINGGI,72.73789450068173,3755.090775241628,65.20938069302711,99.65483584833578,99.44303336616554
875,1375,12,KOTA BUKITTINGGI,72.78573393722897,4002.833870829623,66.83122568743919,99.638969912493,99.43890844551213
886,1376,11,KOTA PAYAKUMBUH,68.39757761243234,3910.345497881748,63.88846934099792,99.66010098061707,99.39268662659973
887,1376,12,KOTA PAYAKUMBUH,69.16487949811214,3734.3217831242832,64.9778176011363,99.6798037089886,99.38364857503691
898,1377,11,KOTA PARIAMAN,62.31595712145007,3513.6241534391543,61.81825475286817,99.5694991525508,99.29193950899769
899,1377,12,KOTA PARIAMAN,60.49529210985183,3418.7116666666657,62.97209659903015,99.51968392231484,99.1488792348833
910,1401,11,KUANTAN SINGINGI,87.97405047564662,4346.493980083204,56.048312646085314,99.33069109749844,99.21955144191315
911,1401,12,KUANTAN SINGINGI,85.41450261788393,4147.750415846193,54.40077348893198,99.26122052872256,99.1903419729798
922,1402,11,INDRAGIRI HULU,76.60394901407844,4253.778643633012,56.62420599925617,98.17980273322684,99.08071477432048
923,1402,12,INDRAGIRI HULU,78.41838044755781,4191.169705499616,54.521267870096295,98.93137748179431,99.00438539930626
934,1403,11,INDRAGIRI HILIR,83.3806384334487,4727.439869415656,51.38954231799242,99.1078372565008,98.60047718479488
935,1403,12,INDRAGIRI HILIR,83.92678759309005,4921.535766821898,53.29678335814503,99.19704262099926,98.55385448012936
946,1404,11,PELALAWAN,81.82244947655221,4499.775257347131,55.018929882875085,99.16493934431335,98.4953153891932
947,1404,12,PELALAWAN,81.59498209127923,4388.285580716441,55.473313562918186,99.23535204130248,98.53802472379029
958,1405,11,S I A K,69.04287664980161,4080.061129265971,49.37682996472555,99.15881772672596,98.67317371355723
959,1405,12,S I A K,71.8602180334227,4526.130808648956,45.15405053849096,99.12359647226018,98.76641236562982
970,1406,11,KAMPAR,71.44354702559359,4243.292917857947,55.83594553299684,99.17418013615251,99.03585923458874
971,1406,12,KAMPAR,72.3807551106226,4125.259590656391,51.8889564494721,99.0986647880218,99.1193614381312
982,1407,11,ROKAN HULU,80.44832504876123,4514.608020613266,58.38929750595512,98.50425492750686,99.12059864355636
983,1407,12,ROKAN HULU,80.35742242146215,4969.79806185661,61.859782394849326,99.08246010779858,98.99748588250507
994,1408,11,BENGKALIS,76.07553462448747,4178.649329627949,60.89623906836409,99.34406311936674,98.9051147630842
995,1408,12,BENGKALIS,74.84271857315122,4004.803986773243,59.47643109217947,99.39811177232832,99.02840188356278
1006,1409,11,ROKAN HILIR,78.10808715312282,4464.737270878264,53.054211003690725,98.98839091955256,98.94851318053954
1007,1409,12,ROKAN HILIR,76.6553560125576,4318.315491119505,53.768644378331,99.0108244060281,98.57115871094832
1018,1410,11,KEPULAUAN MERANTI,86.9283859361338,4738.499310716518,56.39309278386636,99.17344568385084,98.60815802798552
1019,1410,12,KEPULAUAN MERANTI,79.7632566732446,4128.550963979977,61.43249496840789,99.25746460988816,98.597894370346
1030,1471,11,KOTA PEKANBARU,62.9522592579787,3823.8811102627983,61.4365611520876,99.52646557036414,99.8224471918944
1031,1471,12,KOTA PEKANBARU,63.245161243367136,3638.908592357656,61.51980610685177,99.63121664884684,99.82239831690016
1042,1473,11,KOTA DUMAI,74.19565583593393,3694.014401105562,65.85416959974833,99.00247788836764,99.25731377870154
1043,1473,12,KOTA DUMAI,73.65305578443828,3637.590919351494,64.9090352791397,99.0152585424111,99.20154263203013
1054,1501,11,KERINCI,81.66404375022144,3679.942304057598,66.53436092853137,99.62220266323553,99.84655125430714
1055,1501,12,KERINCI,83.8804573978664,3181.7822389865028,63.39647740473711,99.49407948051424,99.82608689132282
1066,1502,11,MERANGIN,65.25100101458531,4079.588099884001,51.41014514595864,99.24138988148512,99.7662256073615
1067,1502,12,MERANGIN,76.77312881072288,4211.84898004773,54.26179591737523,99.01715320954229,99.7751847489288
1078,1503,11,SAROLANGUN,71.58810230772261,4401.220382486022,55.335177696532455,99.15431800548576,99.70446610368624
1079,1503,12,SAROLANGUN,78.79914524518301,4249.50001886916,53.9187206660113,98.7102310673094,99.72330186566892
1090,1504,11,BATANG HARI,53.9625231354353,4320.03704110432,56.292688429780576,99.43110965174446,99.6553301694232
1091,1504,12,BATANG HARI,57.70812589979258,5180.338215085567,54.20389729321093,99.29657237955676,99.686375880848
1102,1505,11,MUARO JAMBI,57.43710268758888,4161.33945172026,57.93353550214786,99.42967285662326,99.66110375139888
1103,1505,12,MUARO JAMBI,53.86232713770337,3992.8333049108473,53.72239174093091,99.50494392758586,99.7357280386924
1114,1506,11,TANJUNG JABUNG TIMUR,67.9807095398722,5277.6495655270655,53.383710755785735,99.29831752707064,99.74648083029416
1115,1506,12,TANJUNG JABUNG TIMUR,68.61470422226017,3988.4850372775377,52.61790031426489,98.92686549372353,99.75743001314224
1126,1507,11,TANJUNG JABUNG BARAT,60.2894284606383,3747.2202399587,54.33535609735464,99.17720149483831,99.75797605972338
1127,1507,12,TANJUNG JABUNG BARAT,58.975374278221096,4086.33478155559,52.70063244724346,99.15572541216528,99.76692194132652
1138,1508,11,TEBO,65.0710029178002,4324.3046593493655,52.25406821717159,98.56447615544056,99.6800502434247
1139,1508,12,TEBO,65.19722074897999,4494.1960386182445,51.3623593149304,99.02880737980966,99.71474371019508
1150,1509,11,BUNGO,59.57609525418336,3894.6605738302273,59.1173353893528,99.38991029985829,99.78132008057274
1151,1509,12,BUNGO,60.30465482629197,3871.053723697694,58.34644667010726,97.91815073946682,99.81451625569925
1162,1571,11,KOTA JAMBI,55.072195068541255,3230.031447348946,68.77266100026996,99.73395661826228,99.91633504097884
1163,1571,12,KOTA JAMBI,54.77681016870753,3303.974410985374,66.98887469548598,99.7318111619894,99.91027285943268
1174,1572,11,KOTA SUNGAI PENUH,86.77644482268254,3445.2401803751804,65.96477006921427,99.7249969945406,99.92876570163835
1175,1572,12,KOTA SUNGAI PENUH,79.34021502661639,3870.164814814815,64.02065281558241,97.52673878384154,99.92933152079704
1186,1601,11,OGAN KOMERING ULU,47.59021631779572,4182.052445344616,52.75572594641042,99.42863219060511,99.6687728845772
1187,1601,12,OGAN KOMERING ULU,49.22577294635363,3957.641191409353,50.60959319473727,99.2618190424254,99.66442763633596
1198,1602,11,OGAN KOMERING ILIR,52.33443959116771,4236.320965126833,46.59563531301798,96.17015001788316,99.52791146140808
1199,1602,12,OGAN KOMERING ILIR,53.45614377904699,4724.158039093655,45.15714904216848,97.76821792110805,99.47454261649172
1210,1603,11,MUARA ENIM,54.680029766436704,4036.1091118724194,53.46876252678208,99.41693209373126,99.59682901080718
1211,1603,12,MUARA ENIM,57.24282534628631,4075.288556018066,51.835554185813606,99.27248197070132,99.61285896787948
1222,1604,11,LAHAT,57.59100625210642,3844.871030575557,49.64208600480765,99.38943883202435,99.69540943061544
1223,1604,12,LAHAT,62.73002695668799,4084.632084617452,45.01035758009729,99.27265215664164,99.67784411180142
1234,1605,11,MUSI RAWAS,70.80788484708278,4728.310036524649,46.06575926271002,99.27394731601817,99.5832368297005
1235,1605,12,MUSI RAWAS,70.40359236343447,4175.683022592876,42.497396490717634,99.1508081352308,99.5851572195047
1246,1606,11,MUSI BANYUASIN,61.709542968204666,4535.715177862367,50.20854859120214,98.83565203009746,99.4720220321236
1247,1606,12,MUSI BANYUASIN,64.44335806540553,4420.9814056131245,47.486071055620506,98.69950494824124,99.47230396022724
1258,1607,11,BANYU ASIN,52.252215543993344,4108.722524641718,51.662774023534006,98.93099140249656,99.64140339172428
1259,1607,12,BANYU ASIN,51.31552071514232,4381.464220110769,48.92669328056143,98.30804616577836,99.63271328008074
1270,1608,11,OGAN KOMERING ULU SELATAN,60.02950613409813,4943.752162883412,46.61742950098965,98.31624590378692,99.68415214207566
1271,1608,12,OGAN KOMERING ULU SELATAN,63.778508235183175,4812.570621693123,44.57644924171876,98.92614499252228,99.67887094867328
1282,1609,11,OGAN KOMERING ULU TIMUR,39.7972676423647,4194.679795129764,52.24778063037134,99.34433896658228,99.72606716560615
1283,1609,12,OGAN KOMERING ULU TIMUR,43.992394954070456,3796.411873398932,49.283741324509805,99.4715373625859,99.72050008585607
1294,1610,11,OGAN ILIR,48.27925033304472,4449.071465330479,53.298967608855946,99.55666822748952,99.72600967413506
1295,1610,12,OGAN ILIR,49.82772930924418,3809.5010220797712,52.35684459070705,99.56620467885536,99.67803246683243
1306,1611,11,EMPAT LAWANG,62.71155915234864,4031.307676518884,48.19155855423559,99.35909695151372,99.6587488305302
1307,1611,12,EMPAT LAWANG,74.12622505441422,4065.425232621784,46.365883930599786,99.17730612604024,99.64131759039702
1318,1612,11,PENUKAL ABAB LEMATANG ILIR,69.70037698479726,4825.5642379243845,51.056532717520206,99.35067550827333,99.62507464733524
1319,1612,12,PENUKAL ABAB LEMATANG ILIR,72.06022359090021,4790.657989417989,49.37908162894362,99.2159460767259,99.66269692743192
1330,1613,11,MUSI RAWAS UTARA,79.56607795780293,4479.000895656069,52.63292803747105,99.014019744761,99.53168345485116
1331,1613,12,MUSI RAWAS UTARA,81.4707244346937,4406.871565934065,50.28757451042832,99.25590528713714,99.54715657258002
1342,1671,11,KOTA PALEMBANG,47.32675580385126,3477.687747549768,59.27065934384007,99.70895133819108,99.90349536972676
1343,1671,12,KOTA PALEMBANG,50.05719565925946,3387.940190064493,62.77110931524022,99.6864225892458,99.89974476462234
1354,1672,11,KOTA PRABUMULIH,51.296598696839375,3734.289676089752,56.93430982419565,99.67972472369752,99.83612482009966
1355,1672,12,KOTA PRABUMULIH,50.85224831281387,4147.842826987828,54.8997238242228,99.6470347255959,99.82763612524818
1366,1673,11,KOTA PAGAR ALAM,69.02272612148774,5127.735552187275,49.498994305555335,99.61931963310728,99.83067376001992
1367,1673,12,KOTA PAGAR ALAM,74.88637155735573,4659.433095238096,46.859221640213725,99.49349564986606,99.76169349374064
1378,1674,11,KOTA LUBUK LINGGAU,58.811595586182754,3478.1462259134632,52.01939691610286,99.63993504750742,99.87593333070636
1379,1674,12,KOTA LUBUK LINGGAU,60.94628219136629,4086.462547341004,49.528196996966734,99.61467977777636,99.87708390262422
1390,1701,11,BENGKULU SELATAN,73.5891393464923,3368.5585385878485,56.92632165413081,99.48552045253858,99.79693962396782
1391,1701,12,BENGKULU SELATAN,81.89349821382488,3629.448111658456,53.30597541832426,99.4170529978044,99.80983106773162
1402,1702,11,REJANG LEBONG,51.34854052695093,3840.0218505568505,49.16876288463461,99.44878638958409,99.7920296678336
1403,1702,12,REJANG LEBONG,52.896148749536366,3270.5626851851857,46.38384033479656,99.3113142941306,99.82841374250546
1414,1703,11,BENGKULU UTARA,71.99004358712516,3805.685522440523,47.71291434701903,99.1070843226226,99.75674693761378
1415,1703,12,BENGKULU UTARA,78.33114595868892,3797.0787989788,42.91979505655963,98.3412040141662,99.72611420232676
1426,1704,11,KAUR,79.62774725274724,3767.6190476190473,56.41270505252537,99.46215773941296,99.77311322493183
1427,1704,12,KAUR,83.01808344911794,5579.558333333334,53.41932404694203,99.00726385655985,99.62473103435364
